APPS
WORK
HIMS
VEEV
AAPL
GOOGL
BAND
SNOW
FB
NVDA
TDOC
AYX
MGNI
TWLO
TSLA
ADSK
NET
FSLY
DIS
AMZN
ETSY
CRWD
U
DOCU
PLTR
ISRG
SKLZ
MTTR
OKTA
AFRM
ROKU
SQ
SOFI
TTD
SHOP
UPST
NFLX
SE
